date,neg,pos,neu
2019-02-19 09:30:00,0.0,0.307,0.693
2019-02-19 10:30:00,0.0,0.307,0.693
2019-02-19 11:30:00,0.0,0.307,0.693
2019-02-19 12:30:00,0.0,0.307,0.693
2019-02-19 13:30:00,0.0,0.307,0.693
2019-02-19 14:30:00,0.0,0.307,0.693
2019-02-19 15:30:00,0.0,0.307,0.693
2019-02-20 09:30:00,0.0,0.307,0.693
2019-02-20 10:30:00,0.0,0.307,0.693
2019-02-20 11:30:00,0.0,0.307,0.693
2019-02-20 12:30:00,0.0,0.307,0.693
2019-02-20 13:30:00,0.0,0.307,0.693
2019-02-20 14:30:00,0.0,0.307,0.693
2019-02-20 15:30:00,0.0,0.307,0.693
2019-02-21 09:30:00,0.0,0.307,0.693
2019-02-21 10:30:00,0.0,0.307,0.693
2019-02-21 11:30:00,0.0,0.307,0.693
2019-02-21 12:30:00,0.0,0.307,0.693
2019-02-21 13:30:00,0.0,0.307,0.693
2019-02-21 14:30:00,0.0,0.307,0.693
2019-02-21 15:30:00,0.0,0.307,0.693
2019-02-22 09:30:00,0.0,0.307,0.693
2019-02-22 10:30:00,0.0,0.307,0.693
2019-02-22 11:30:00,0.0,0.307,0.693
2019-02-22 12:30:00,0.0,0.307,0.693
2019-02-22 13:30:00,0.0,0.307,0.693
2019-02-22 14:30:00,0.0,0.307,0.693
2019-02-22 15:30:00,0.0,0.307,0.693
